year,month,origin,destination,number_of_flights
2019,1,EFHK,LKPR,65
2019,1,LFBO,LFLL,141
2019,1,EKCH,LBSF,16
2019,1,EGLL,ESGG,58
2019,1,EGCC,BIKF,76
2019,1,LKPR,EHAM,119
2019,1,LPPT,UUEE,27
2019,1,EGLL,LFBO,72
2019,1,EDDM,EHAM,217
2019,1,UUDD,LEAL,17
2019,1,ENGM,LEAL,43
2019,1,EDDH,LOWW,175
2019,1,LDZA,EHAM,42
2019,1,EDDL,EDDH,241
2019,1,BIKF,EFHK,50
2019,1,ULLI,EDDM,76
2019,1,EPWA,EVRA,19
2019,1,LGAV,EDDL,32
2019,1,BIKF,EGCC,69
2019,1,LFPG,LIMC,308
2019,1,EKCH,LGAV,23
2019,1,BIKF,EGLL,79
2019,1,LIME,LPPT,28
2019,1,LDZA,EKCH,23
2019,1,LOWW,EDDB,13
2019,1,LPPT,EDDM,113
2019,1,EFHK,ULLI,8
2019,1,LFML,LFBD,114
2019,1,UUEE,URRP,171
2019,1,LSGG,EIDW,39
2019,1,LMML,EDDK,2
2019,1,LEMD,EGBB,25
2019,1,EGKK,EHAM,232
2019,1,LSGG,UUDD,44
2019,1,BIKF,EDDH,6
2019,1,EGGW,BIKF,81
2019,1,LIRF,LOWW,139
2019,1,LOWW,LSZH,211
2019,1,EETN,ULLI,3
2019,1,EGCC,LMML,34
2019,1,EKCH,EVRA,60
2019,1,LIRF,LFBO,44
2019,1,ESSA,EDDM,130
2019,1,EGGW,EVRA,35
2019,1,EHAM,LFPO,43
2019,1,ESSA,EYVI,51
2019,1,EGSS,LEAL,53
2019,1,EHAM,EDDB,77
2019,1,EDDF,EDDV,146
2019,1,EGKK,LFPG,103
2019,1,LPPT,LEMG,57
2019,1,LSGG,EHAM,140
2019,1,EGLL,LFLL,62
2019,1,EHAM,LIMC,171
2019,1,UUEE,EDDV,30
2019,1,LFBD,LFPO,168
2019,1,ULLI,EVRA,47
2019,1,EGGW,LOWW,15
2019,1,LEAL,EDDL,13
2019,1,LPPT,LOWW,57
2019,1,EDDF,LKPR,116
2019,1,EDDF,EGLL,389
2019,1,UUEE,LOWW,116
2019,1,EGBB,LFPG,72
2019,1,LOWW,EDDK,127
2019,1,EGAA,EGPF,72
2019,1,LDZA,EDDF,82
2019,1,EGLL,ELLX,42
2019,1,BIKF,EKBI,3
2019,1,EGGW,EYVI,39
2019,1,LSZH,EIDW,55
2019,1,ULLI,LIME,13
2019,1,EHEH,LHBP,15
2019,1,EDDF,LSGG,125
2019,1,EHAM,EDDV,93
2019,1,EGLL,LIMC,73
2019,1,LDZA,LFPG,33
2019,1,LIRF,LEBL,126
2019,1,ULLI,LKPR,52
2019,1,UUDD,LIRF,31
2019,1,LEMD,EGLL,330
2019,1,EFHK,UUWW,31
2019,1,EGGW,LSGG,159
2019,1,EDDM,LROP,128
2019,1,LSZH,ELLX,78
2019,1,EGGW,EHAM,200
2019,1,EGKK,EGPH,157
2019,1,ENGM,LEBL,9
2019,1,EKCH,ESSA,565
2019,1,EFHK,EVRA,48
2019,1,LIME,LOWW,31
2019,1,UUEE,EKCH,54
2019,1,EDDS,EDDH,293
2019,1,LEMG,EDDK,14
2019,1,EGLL,EPWA,126
2019,1,LIRF,LIMF,193
2019,1,UUDD,LIMF,9
2019,1,LSZH,ULLI,9
2019,1,EHEH,EVRA,12
2019,1,LFPG,LFLL,173
2019,1,EGKK,LFBD,47
2019,1,LIRF,LEAL,19
2019,1,EDDK,LDZA,18
2019,1,LFPG,ESSA,154
2019,1,EHAM,ESGG,92
2019,1,LIBR,LIMC,16
2019,1,LIME,LBSF,27
2019,1,EPKK,EGSS,69
2019,1,LEMG,LIRF,74
2019,1,EGGW,EPGD,55
2019,1,LIRF,EDDM,168
2019,1,LPPT,LSGG,181
2019,1,LFML,LFPG,143
2019,1,LFPO,LFLL,36
2019,1,EHAM,LROP,117
2019,1,EGCC,EGAA,77
2019,1,LIRF,LIBD,230
2019,1,EDDF,LFPG,228
2019,1,ULLI,LIMC,40
2019,1,LBSF,EHEH,26
2019,1,ESSA,LMML,5
2019,1,EGLL,LDZA,32
2019,1,LIPZ,LFPO,67
2019,1,ULLI,LFPG,46
2019,1,LSZH,LEMG,35
2019,1,LEMG,LEMD,119
2019,1,EGBB,EPWA,9
2019,1,LIEE,LIMC,7
2019,1,UUEE,ESSA,62
2019,1,EGLL,LBSF,48
2019,1,LFBO,LEMD,153
2019,1,EGKK,LOWW,52
2019,1,LIRF,LSGG,122
2019,1,EPWA,LIPZ,7
2019,1,LSZH,EGGW,43
2019,1,LEMD,ESSA,35
2019,1,EDDM,LSZH,200
2019,1,EDDF,EDDL,145
2019,1,EHAM,LFML,64
2019,1,EDDM,EVRA,52
2019,1,LFBO,LIPZ,10
2019,1,EHAM,EGSS,87
2019,1,LIRF,LIPZ,167
2019,1,ENGM,LKPR,29
2019,1,EDDB,EGKK,31
2019,1,LSGG,EDDB,46
2019,1,LHBP,EDDL,60
2019,1,ENGM,EPWA,71
2019,1,LEMG,LIMC,23
2019,1,LFBD,LSZH,55
2019,1,LOWW,EVRA,45
2019,1,EGGW,EPWA,77
2019,1,ENGM,EDDM,108
2019,1,LICJ,LIMC,32
2019,1,LFPO,LEAL,32
2019,1,LSZH,LGAV,74
2019,1,EGPF,EIDW,164
2019,1,LOWW,EDDL,281
2019,1,LIBD,LIMC,51
2019,1,EGGW,EGAA,52
2019,1,EDDL,LSZH,285
2019,1,EGGW,EGPH,76
2019,1,EGSS,EGPH,236
2019,1,LIMF,EDDB,12
2019,1,LPPT,EHAM,129
2019,1,EDDM,EGKK,48
2019,1,UUWW,UUBW,4
2019,1,EGKK,LFLL,73
2019,1,EHEH,EYVI,7
2019,1,ESSA,EETN,95
2019,1,LEMD,LFLL,82
2019,1,EFHK,LHBP,27
2019,1,EBBR,LEMG,68
2019,1,EGKK,EGAA,70
2019,1,EDDH,LSZH,252
2019,1,EPWA,UUEE,109
2019,1,EGSS,EGAA,113
2019,1,EHAM,LIPZ,53
2019,1,ESSA,LIRF,34
2019,1,LFPG,LPPT,121
2019,1,LIRF,LIPE,29
2019,1,EGKK,EIDW,309
2019,1,LIRF,LFPO,177
2019,1,LGAV,EDDB,26
2019,1,LFPG,LROP,131
2019,1,LIPX,EGKK,22
2019,1,EDDF,EFHK,138
